feature,importance
std_vdw_radius,0.4146980267750793
std_electronegativity,0.1252276077654538
max_diff_ion_energies,0.06077600936514217
avg_val_electrons,0.05323770656856888
avg_atomic_volume,0.04278358100928453
std_dipole_polarizability,0.03984888654026598
delta_a1a2_electron_affinity,0.026226599886993773
std_ion_energies,0.024753285899819254
avg_atomic_radius,0.02015759129257661
avg_dipole_polarizability,0.018836867162507095
avg_ion_energies,0.01681971924290865
max_diff_dipole_polarizability,0.014240293475845517
std_atomic_radius,0.012984344021579771
delta_bx_atomic_radius,0.00975779816419256
delta_a1a2_covalent_radius,0.009106127673557935
std_unp_electrons,0.007538416937817011
delta_a1a2_atomic_volume,0.006707365463102774
avg_electronegativity,0.00602036595796146
avg_vdw_radius,0.005739622993351947
max_diff_atomic_radius,0.005621902173748447
std_no_electrons,0.0054037091911031164
delta_bx_ion_energies,0.00502246477767337
delta_a1a2_ion_energies,0.004440225367810426
max_diff_vdw_radius,0.004223647165329773
delta_bx_covalent_radius,0.004083690268459055
delta_bx_electron_affinity,0.00397506767489743
delta_bx_vdw_radius,0.003940519936737131
max_diff_electronegativity,0.003823559926537354
std_electron_affinity,0.003761877445223257
avg_no_electrons,0.0034390776944897843
delta_bx_atomic_volume,0.0033524501611665973
std_covalent_radius,0.0032350883310497784
delta_a1a2_electronegativity,0.0030550064297772566
avg_covalent_radius,0.002929755476837719
std_atomic_volume,0.0028927720626116277
max_diff_atomic_volume,0.0026903359179037316
delta_bx_electronegativity,0.0023509728382192104
avg_electron_affinity,0.0022393085857925522
delta_bx_no_electrons,0.002021586162671831
max_diff_val_electrons,0.001674766324903813
max_diff_covalent_radius,0.0016378032537622894
delta_a1a2_no_electrons,0.0014145106429570675
delta_a1a2_vdw_radius,0.0012314132847796651
delta_a1a2_dipole_polarizability,0.0010535414153284267
avg_unp_electrons,0.0008657573978959667
std_val_electrons,0.0007843531403737592
delta_bx_unp_electrons,0.0006687188808464487
delta_a1a2_unp_electrons,0.0005805101449241124
delta_bx_dipole_polarizability,0.0005537011935876301
delta_a1a2_atomic_radius,0.0005072822029431643
delta_bx_val_electrons,0.0004319481427272424
max_diff_unp_electrons,0.00027243102450239345
delta_a1a2_val_electrons,0.00021402748610395685
max_diff_no_electrons,0.00013182542404417886
max_diff_electron_affinity,1.4176256271487935e-05
