feature,importance
std_vdw_radius,0.18554285245364607
std_electronegativity,0.14203583777879616
avg_atomic_volume,0.10967080027046315
max_diff_ion_energies,0.05840000106647661
avg_covalent_radius,0.051275988076973616
avg_electronegativity,0.038287602312181944
std_ion_energies,0.032273922284890254
avg_val_electrons,0.03125617329529375
std_dipole_polarizability,0.0308023236734772
avg_atomic_radius,0.02806710195683081
avg_vdw_radius,0.027187749959681824
max_diff_dipole_polarizability,0.02648931385455255
avg_dipole_polarizability,0.02313303053683603
max_diff_electronegativity,0.020939682161689385
delta_a1a2_electron_affinity,0.020536226323949722
delta_a1a2_covalent_radius,0.013267506563448753
avg_ion_energies,0.013191361260729511
std_atomic_radius,0.012806916188165608
delta_a1a2_electronegativity,0.010499893859315738
delta_a1a2_atomic_volume,0.010116182906667702
std_no_electrons,0.00919263719407909
max_diff_val_electrons,0.006524967951654336
std_unp_electrons,0.006163295230224425
max_diff_vdw_radius,0.005895118731390778
delta_a1a2_ion_energies,0.005692730672703117
std_atomic_volume,0.00536241342137358
std_electron_affinity,0.005337867631529135
delta_bx_atomic_radius,0.005095047055517167
delta_bx_electron_affinity,0.004784843214428035
max_diff_atomic_radius,0.004545807562920724
avg_unp_electrons,0.004439517010067939
std_val_electrons,0.003930239266389915
avg_electron_affinity,0.003879349546328025
std_covalent_radius,0.003271879962618025
delta_bx_electronegativity,0.003222086844049253
delta_bx_vdw_radius,0.003124673322262855
avg_no_electrons,0.0030399113934737386
delta_bx_ion_energies,0.0027497923180554436
max_diff_no_electrons,0.0026818805977425813
delta_bx_dipole_polarizability,0.0026555850686286755
delta_bx_covalent_radius,0.002163316981854149
max_diff_atomic_volume,0.002141739043546018
delta_a1a2_no_electrons,0.002085481561806508
max_diff_covalent_radius,0.002025771387197673
delta_a1a2_vdw_radius,0.001965879088729385
delta_a1a2_unp_electrons,0.0019226668309523303
delta_bx_no_electrons,0.0018588691996551815
delta_a1a2_val_electrons,0.0018085826118011278
delta_bx_atomic_volume,0.0017804371851119838
delta_a1a2_dipole_polarizability,0.0014397995440198358
delta_a1a2_atomic_radius,0.0012875428240337271
delta_bx_unp_electrons,0.0007667072298812881
delta_bx_val_electrons,0.0006584893863586335
max_diff_unp_electrons,0.0006372101138761236
max_diff_electron_affinity,8.739623167261343e-05
