iteration,eliminated_feature_index,eliminated_feature,avg_cv_F1_score,ci_bound_be,std_dev_be,std_err_be
1,29,std_dipole_polarizability,0.8238987657153729,0.07465788987529061,0.05808637471898266,0.029043187359491324
2,45,min_unp_electrons,0.8315710465770275,0.05064080011037345,0.03940026293528833,0.019700131467644166
3,91,delta_b14x18_avg_mendeleev_number,0.8420837758246312,0.04145772758851967,0.032255520531411015,0.016127760265705508
4,48,delta_a1a2_unp_electrons,0.8699888104814228,0.07336498748479622,0.057080452734651545,0.028540226367325776
5,84,delta_a12b58_avg_melting_point,0.870106257307717,0.07135109489303455,0.055513575879114166,0.027756787939557083
6,106,min_heat_of_formation,0.8538787580586685,0.05047578466459213,0.03927187531230455,0.01963593765615227
7,4,delta_a12x914_avg_vdw_radius,0.84869812502574,0.06462381860736822,0.05027952637918756,0.02513976318959378
8,60,min_no_electrons,0.8499206649480205,0.055002753820160545,0.042794011112698406,0.021397005556349203
9,40,avg_a12b14_val_electrons,0.8705630544321604,0.036714072155390784,0.028564795445465904,0.01428239772273295
10,43,std_unp_electrons,0.8751263525127111,0.04545511937587367,0.03536562714769347,0.017682813573846733
11,85,delta_a1a2_melting_point,0.8649233895622335,0.06437352016107252,0.05008478568443451,0.025042392842217254
12,99,delta_a12x18_avg_lattice_constant,0.8630193926796348,0.04315834193029069,0.03357865626527109,0.016789328132635544
13,52,std_ion_energies,0.862702229844641,0.04538219053768666,0.03530888603393006,0.017654443016965025
14,23,min_atomic_volume,0.8588028127551895,0.04859594334580268,0.03780929490134158,0.01890464745067079
15,66,avg_a1a2_electronegativity,0.8516673703191694,0.0599175916492545,0.04661792191838365,0.023308960959191823
16,104,max_diff_lattice_constant,0.8608363909424013,0.05208091461704005,0.04052072094732444,0.02026036047366222
17,13,avg_b1b8_covalent_radius,0.8637350629742523,0.048117497723275136,0.03743704795250316,0.018718523976251577
18,100,delta_a12x914_avg_lattice_constant,0.8628328389388493,0.05374623260571519,0.04181639491933235,0.020908197459666173
19,94,delta_a1a2_mendeleev_number,0.8636713321005557,0.04964977929444333,0.038629215071966906,0.019314607535983453
20,49,avg_a12b14_unp_electrons,0.8689672658259614,0.040192891787536045,0.031271435307241885,0.015635717653620942
21,92,delta_b18x114_avg_mendeleev_number,0.8646178492275514,0.031336945382006605,0.024381208135511125,0.01219060406775556
22,77,delta_a12x18_avg_density,0.8667322560283006,0.05034594661421021,0.03917085689804366,0.019585428449021825
23,33,delta_a1a2_dipole_polarizability,0.8601381387024688,0.06268935090109695,0.04877444478290963,0.024387222391454817
24,17,delta_a12b14_avg_covalent_radius,0.8635093471695893,0.055339872690757276,0.04305630104715854,0.02152815052357927
25,0,max_vdw_radius,0.8599348521620154,0.057287608407034125,0.04457170560598264,0.02228585280299132
26,105,std_heat_of_formation,0.8698440499500603,0.04896784799659029,0.0380986493545878,0.0190493246772939
27,34,avg_a12x914_dipole_polarizability,0.8641021112378698,0.06163794398040937,0.04795641447855459,0.02397820723927729
28,12,min_covalent_radius,0.8611039814297742,0.06228137630023297,0.048457026683078566,0.02422851334153928
29,1,min_vdw_radius,0.8651807325910909,0.0384492935847072,0.02991485666916306,0.01495742833458153
30,103,delta_a1a2_lattice_constant,0.8663654314416934,0.043248656991055026,0.03364892445087195,0.01682446222543597
31,83,delta_a12b14_avg_melting_point,0.8597710904388511,0.04940855215827412,0.03844153216467716,0.01922076608233858
32,87,delta_a1a2_proton_affinity,0.8608508209568313,0.05665579497384375,0.04408013328999452,0.022040066644997258
33,78,delta_a12x914_avg_density,0.8577898970290866,0.0555048255098738,0.04318463994446946,0.02159231997223473
34,110,avg_a12x914_heat_of_formation,0.8634181716276128,0.042404684402468334,0.03299228510417884,0.01649614255208942
35,18,delta_a12b58_avg_covalent_radius,0.8577898970290866,0.0555048255098738,0.04318463994446946,0.02159231997223473
36,46,delta_a12b14_avg_unp_electrons,0.8597710904388511,0.04940855215827412,0.03844153216467716,0.01922076608233858
37,108,delta_a12b58_avg_heat_of_formation,0.8597719150111043,0.05272199225422318,0.04101950112875713,0.020509750564378565
38,76,max_density,0.8698966791358685,0.05031741801928164,0.03914866068197065,0.01957433034098532
39,16,delta_a12x914_avg_covalent_radius,0.8649124349423444,0.0786826460376095,0.06121777174865365,0.03060888587432682
40,30,min_b_dipole_polarizability,0.8624739946710636,0.042340803330402195,0.03294258345984249,0.016471291729921244
41,55,delta_a12b58_avg_ion_energies,0.8641021112378698,0.06163794398040937,0.04795641447855459,0.02397820723927729
42,101,delta_a12b14_avg_lattice_constant,0.8619780360079454,0.07828973266561573,0.06091207179656751,0.030456035898283752
43,3,delta_a12x18_avg_vdw_radius,0.858305131095808,0.08445632817253075,0.06570989260229071,0.032854946301145355
