iteration,eliminated_feature_index,eliminated_feature,avg_cv_F1_score,ci_bound_be,std_dev_be,std_err_be
1,52,std_unp_electrons,0.8062575843734623,0.05239270934177152,0.04076330783594944,0.020381653917974717
2,73,avg_electron_affinity,0.8026669013970841,0.025789795033332015,0.020065336707670377,0.010032668353835188
3,20,std_atomic_volume,0.8304394528091196,0.0466673555945814,0.03630878810985568,0.01815439405492784
4,18,max_diff_covalent_radius,0.8320073605945637,0.046831555133703975,0.03643654092973969,0.018218270464869846
5,99,std_lattice_constant,0.8372182824423916,0.061082593701797305,0.0475243330945557,0.023762166547277846
6,64,delta_a12b58_avg_ion_energies,0.8386321142343958,0.038846814838554906,0.030224141709877816,0.01511207085493891
7,86,avg_a1a2_metallic_radius,0.8263679922454896,0.04776515843553387,0.03716291601641247,0.018581458008206233
8,81,avg_a12x18_electron_affinity,0.8215072556309669,0.05344723320966721,0.041583763231126274,0.020791881615563133
9,90,avg_mendeleev_number,0.8355081236971549,0.05680698734293016,0.04419776608969023,0.02209888304484511
10,92,delta_b18x114_avg_mendeleev_number,0.8211971075888602,0.05804338496350981,0.045159725443358174,0.022579862721679087
11,29,delta_a12b14_avg_dipole_polarizability,0.8262583785947802,0.03703731973201532,0.028816293041958117,0.014408146520979059
12,33,avg_a12x914_dipole_polarizability,0.8283430895499938,0.05068571211697771,0.03943520600224823,0.01971760300112411
13,5,delta_a12b58_avg_vdw_radius,0.830548728299856,0.04821202326024233,0.03751059203163479,0.018755296015817394
14,13,delta_a12b14_avg_covalent_radius,0.8306049108203737,0.062948361744456,0.04897596401856933,0.024487982009284665
15,88,delta_a12x914_avg_metallic_radius,0.8309780506265243,0.06140573956242246,0.04777575155254473,0.023887875776272365
16,72,delta_a1a2_electronegativity,0.8305428261580378,0.06933124696034237,0.05394206556600859,0.026971032783004292
17,31,delta_a1a2_dipole_polarizability,0.8380858883945281,0.06379187317870263,0.0496322445715188,0.0248161222857594
18,94,delta_a12b58_avg_mendeleev_number,0.832189425466141,0.07751556741733236,0.06030974493223584,0.03015487246611792
19,17,avg_a12b58_covalent_radius,0.8391234325253498,0.06331395793127388,0.04926041027252597,0.024630205136262986
20,47,delta_a1a2_val_electrons,0.8267294662212004,0.05119304214008742,0.039829925996046144,0.019914962998023072
21,63,delta_a12b14_avg_ion_energies,0.8332282840107572,0.06089332773414259,0.04737707774167729,0.023688538870838646
22,91,std_mendeleev_number,0.832018950212581,0.07161871600245943,0.05572179419429466,0.027860897097147327
23,51,avg_unp_electrons,0.8291912032311307,0.0698207449898033,0.05432291166293104,0.027161455831465516
24,70,delta_a12b14_avg_electronegativity,0.8332792092199119,0.03864482157438316,0.030066984087917314,0.015033492043958655
25,58,avg_a12b58_unp_electrons,0.8330988902168313,0.0600309876476481,0.04670614785760222,0.023353073928801107
26,35,avg_a12b58_dipole_polarizability,0.8303038490178164,0.0481535414165822,0.037465091170429454,0.018732545585214724
27,2,delta_a12x18_avg_vdw_radius,0.8303519541693698,0.057617733482777586,0.04482855413044267,0.02241427706522133
28,87,delta_a12x18_avg_metallic_radius,0.8313106835227588,0.04147199153232357,0.03226661836428772,0.01613330918214386
29,98,avg_a12b58_mendeleev_number,0.8328038186677809,0.06859229837984984,0.05336713846565458,0.02668356923282729
30,3,delta_a12x914_avg_vdw_radius,0.8271270066632423,0.0662765782579056,0.051565429537472555,0.025782714768736278
31,30,delta_a12b58_avg_dipole_polarizability,0.8270377980292809,0.058394292463925176,0.04543274340026637,0.022716371700133183
32,48,avg_a12b14_val_electrons,0.8216189662629614,0.06548879719218,0.05095250910459273,0.025476254552296365
33,68,std_electronegativity,0.8153886169420055,0.055091678887361425,0.04286319783608383,0.021431598918041913
34,93,delta_a12b14_avg_mendeleev_number,0.8182453221554603,0.04842229057326874,0.037674187144703324,0.01883709357235166
35,78,delta_a12b14_avg_electron_affinity,0.8097280199095669,0.06911848045548151,0.05377652599678635,0.026888262998393173
36,71,delta_a12b58_avg_electronegativity,0.811970706909395,0.0703731668312142,0.05475271462329791,0.02737635731164895
37,84,avg_a12b58_electron_affinity,0.8124820912350668,0.06424757346629145,0.04998679487703437,0.024993397438517185
38,4,delta_a12b14_avg_vdw_radius,0.8017824083509992,0.07309613739332534,0.05687127822968635,0.028435639114843172
39,14,delta_a12b58_avg_covalent_radius,0.8021065847638738,0.04393988096669213,0.03418672018727262,0.017093360093636305
40,66,min_no_electrons,0.8041577078716541,0.04362021088896919,0.0339380060064663,0.016969003003233146
41,27,delta_a12x18_avg_dipole_polarizability,0.8098150628862733,0.04801029551337174,0.03735364099115516,0.018676820495577576
42,8,avg_a12b58_vdw_radius,0.80807782340434,0.0784229843835873,0.061015746160187664,0.030507873080093832
43,38,std_val_electrons,0.8088592194073921,0.04738888530920892,0.03687016274078543,0.018435081370392715
44,16,avg_a12b14_covalent_radius,0.8120814523246466,0.0613501408402308,0.047732493857791825,0.023866246928895912
45,97,avg_a12b14_mendeleev_number,0.8034975641268323,0.0565127190590942,0.04396881536751792,0.02198440768375896
46,74,std_electron_affinity,0.8014459408019171,0.07681336660794774,0.05976340884625725,0.02988170442312862
47,32,avg_a12x18_dipole_polarizability,0.7968024572472465,0.07327017049915051,0.05700668189854648,0.028503340949273235
48,24,std_dipole_polarizability,0.7932172035829638,0.06691876912867618,0.052065075852456816,0.026032537926228408
49,12,delta_a12x914_avg_covalent_radius,0.7888372451497431,0.06804824560813334,0.05294384692583722,0.02647192346291861
50,7,avg_a12b14_vdw_radius,0.7934417814541793,0.056466377125069384,0.04393275976844508,0.02196637988422254
51,0,min_vdw_radius,0.7957622633492145,0.061091631917349794,0.0475313651333161,0.023765682566658047
52,6,delta_a1a2_vdw_radius,0.7984902480605895,0.05559850290186863,0.043257524137998084,0.02162876206899904
53,44,delta_a12b14_avg_val_electrons,0.795741440557962,0.054155319025528184,0.04213467805207823,0.021067339026039113
54,28,delta_a12x914_avg_dipole_polarizability,0.7934626042454318,0.06315060465023699,0.04913331587018305,0.024566657935091524
55,77,avg_b1b8_electron_affinity,0.7993459772733821,0.060387749612978166,0.04698372078711119,0.023491860393555594
56,59,min_ion_energies,0.8016456363771649,0.05784606608713119,0.04500620465390642,0.022503102326953208
